symbol,name
Symbol,Company Name,Security Name,Market Category,Test Issue,Financial Status,Round Lot Size,ETF,NextShares,Category
ACHC,"Acadia Healthcare Company, Inc.","Acadia Healthcare Company, Inc. - Common Stock",Q,N,N,100.0,N,N,NASDAQ
ACHV,"Achieve Life Sciences, Inc. ","Achieve Life Sciences, Inc.  - Common Shares",S,N,N,100.0,N,N,NASDAQ
ACIC,American Coastal Insurance Corporation,American Coastal Insurance Corporation - Common Stock,S,N,N,100.0,N,N,NASDAQ
ACIU,AC Immune SA,AC Immune SA - Common Stock,G,N,N,100.0,N,N,NASDAQ
ACIW,"ACI Worldwide, Inc.","ACI Worldwide, Inc. - Common Stock",Q,N,N,100.0,N,N,NASDAQ
ACLS,"Axcelis Technologies, Inc.","Axcelis Technologies, Inc. - Common Stock",Q,N,N,100.0,N,N,NASDAQ
ACLX,"Arcellx, Inc.","Arcellx, Inc. - Common Stock",Q,N,N,100.0,N,N,NASDAQ
ACMR,"ACM Research, Inc.","ACM Research, Inc. - Class A Common Stock",G,N,N,100.0,N,N,NASDAQ
ACNB,ACNB Corporation,ACNB Corporation - Common Stock,S,N,N,100.0,N,N,NASDAQ
ACNT,Ascent Industries Co.,Ascent Industries Co. - Common Stock,G,N,N,100.0,N,N,NASDAQ
ACOG,Alpha Cognition Inc.,Alpha Cognition Inc. - Common Stock,S,N,N,100.0,N,N,NASDAQ
ACON,"Aclarion, Inc.","Aclarion, Inc. - Common Stock",S,N,N,100.0,N,N,NASDAQ
ACONW,"Aclarion, Inc.","Aclarion, Inc. - Warrant",S,N,N,100.0,N,N,NASDAQ
ACRS,"Aclaris Therapeutics, Inc.","Aclaris Therapeutics, Inc. - Common Stock",Q,N,N,100.0,N,N,NASDAQ
ACRV,"Acrivon Therapeutics, Inc.","Acrivon Therapeutics, Inc. - Common Stock",G,N,N,100.0,N,N,NASDAQ
ACT,"Enact Holdings, Inc.","Enact Holdings, Inc. - Common Stock",Q,N,N,100.0,N,N,NASDAQ
ACTG,Acacia Research Corporation,Acacia Research Corporation - Common Stock,Q,N,N,100.0,N,N,NASDAQ
ACTU,"Actuate Therapeutics, Inc.","Actuate Therapeutics, Inc. - Common stock",G,N,N,100.0,N,N,NASDAQ
ACWI,iShares MSCI ACWI ETF,iShares MSCI ACWI ETF,G,N,N,100.0,Y,N,NASDAQ
ACWX,iShares MSCI ACWI ex U.S. ETF,iShares MSCI ACWI ex U.S. ETF,G,N,N,100.0,Y,N,NASDAQ
ACXP,"Acurx Pharmaceuticals, Inc.","Acurx Pharmaceuticals, Inc. - Common Stock",S,N,D,100.0,N,N,NASDAQ
ADAG,Adagene Inc.,"Adagene Inc. - ADS, each representing 1.25 ordinary shares",G,N,N,100.0,N,N,NASDAQ
ADAP,Adaptimmune Therapeutics plc,Adaptimmune Therapeutics plc - American Depositary Shares,S,N,D,100.0,N,N,NASDAQ
ADBE,Adobe Inc.,Adobe Inc. - Common Stock,Q,N,N,100.0,N,N,NASDAQ
ADBG,Leverage Shares 2X Long ADBE Daily ETF,Leverage Shares 2X Long ADBE Daily ETF,G,N,N,100.0,Y,N,NASDAQ
ADD,"Color Star Technology Co., Ltd.","Color Star Technology Co., Ltd. - Class A Ordinary Shares",S,N,N,100.0,N,N,NASDAQ
ADEA,Adeia Inc. ,Adeia Inc.  - Common Stock,Q,N,N,100.0,N,N,NASDAQ
ADGM,"Adagio Medical Holdings, Inc","Adagio Medical Holdings, Inc - Common Stock",S,N,D,100.0,N,N,NASDAQ
ADI,"Analog Devices, Inc.","Analog Devices, Inc. - Common Stock",Q,N,N,100.0,N,N,NASDAQ
ADIL,"Adial Pharmaceuticals, Inc","Adial Pharmaceuticals, Inc - Common Stock",S,N,D,100.0,N,N,NASDAQ
ADMA,ADMA Biologics Inc,ADMA Biologics Inc - Common Stock,G,N,N,100.0,N,N,NASDAQ
ADN,"Advent Technologies Holdings, Inc.","Advent Technologies Holdings, Inc. - Class A Common Stock",S,N,E,100.0,N,N,NASDAQ
ADNWW,"Advent Technologies Holdings, Inc.","Advent Technologies Holdings, Inc. - Warrant",S,N,E,100.0,N,N,NASDAQ
ADP,"Automatic Data Processing, Inc.","Automatic Data Processing, Inc. - Common Stock",Q,N,N,100.0,N,N,NASDAQ
ADPT,Adaptive Biotechnologies Corporation,Adaptive Biotechnologies Corporation - Common Stock,Q,N,N,100.0,N,N,NASDAQ
ADSE,ADS-TEC ENERGY PLC,ADS-TEC ENERGY PLC - Ordinary Shares,S,N,N,100.0,N,N,NASDAQ
ADSEW,ADS-TEC ENERGY PLC,ADS-TEC ENERGY PLC - Warrant,S,N,N,100.0,N,N,NASDAQ
ADSK,"Autodesk, Inc.","Autodesk, Inc. - Common Stock",Q,N,N,100.0,N,N,NASDAQ
ADTN,"ADTRAN Holdings, Inc.","ADTRAN Holdings, Inc. - Common Stock",Q,N,N,100.0,N,N,NASDAQ
ADTX,"Aditxt, Inc.","Aditxt, Inc. - Common Stock",S,N,N,100.0,N,N,NASDAQ
ADUR,Aduro Clean Technologies Inc.,Aduro Clean Technologies Inc. - Common Stock,S,N,N,100.0,N,N,NASDAQ
ADUS,Addus HomeCare Corporation,Addus HomeCare Corporation - Common Stock,Q,N,N,100.0,N,N,NASDAQ
ADV,Advantage Solutions Inc. ,Advantage Solutions Inc.  - Class A Common Stock,Q,N,N,100.0,N,N,NASDAQ
ADVB,Advanced Biomed Inc.,Advanced Biomed Inc. - Common Stock,S,N,N,100.0,N,N,NASDAQ
ADVM,"Adverum Biotechnologies, Inc.","Adverum Biotechnologies, Inc. - Common Stock",S,N,N,100.0,N,N,NASDAQ
ADVWW,Advantage Solutions Inc. ,Advantage Solutions Inc.  - Warrant,Q,N,N,100.0,N,N,NASDAQ
ADXN,Addex Therapeutics Ltd,Addex Therapeutics Ltd - American Depositary Shares,S,N,N,100.0,N,N,NASDAQ
AEHL,Antelope Enterprise Holdings Limited,Antelope Enterprise Holdings Limited - Class A Ordinary Shares,S,N,N,100.0,N,N,NASDAQ
AEHR,Aehr Test Systems,Aehr Test Systems - Common Stock,S,N,N,100.0,N,N,NASDAQ
AEI,Alset Inc.,Alset Inc. - Common Stock,S,N,D,100.0,N,N,NASDAQ
AEIS,"Advanced Energy Industries, Inc.","Advanced Energy Industries, Inc. - Common Stock",Q,N,N,100.0,N,N,NASDAQ
AEMD,"Aethlon Medical, Inc.","Aethlon Medical, Inc. - Common Stock",S,N,N,100.0,N,N,NASDAQ
AENT,Alliance Entertainment Holding Corporation,Alliance Entertainment Holding Corporation - common stock,S,N,N,100.0,N,N,NASDAQ
AENTW,Alliance Entertainment Holding Corporation,Alliance Entertainment Holding Corporation - Warrants,S,N,N,100.0,N,N,NASDAQ
AEP,"American Electric Power Company, Inc.","American Electric Power Company, Inc. - Common Stock",Q,N,N,100.0,N,N,NASDAQ
AERT,"Aeries Technology, Inc.","Aeries Technology, Inc. - Class A Ordinary Share",S,N,D,100.0,N,N,NASDAQ
AERTW,"Aeries Technology, Inc.","Aeries Technology, Inc. - Warrant",S,N,N,100.0,N,N,NASDAQ
AEVA,"Aeva Technologies, Inc.","Aeva Technologies, Inc. - Common Stock",Q,N,N,100.0,N,N,NASDAQ
AEVAW,"Aeva Technologies, Inc.","Aeva Technologies, Inc. - Redeemable Warrants",Q,N,N,100.0,N,N,NASDAQ
AEYE,"AudioEye, Inc.","AudioEye, Inc. - Common Stock",S,N,N,100.0,N,N,NASDAQ
AFBI,"Affinity Bancshares, Inc.","Affinity Bancshares, Inc. - Common Stock",S,N,N,100.0,N,N,NASDAQ
AFCG,Advanced Flower Capital Inc.,Advanced Flower Capital Inc. - Common Stock,G,N,N,100.0,N,N,NASDAQ
AFJK,"Aimei Health Technology Co., Ltd","Aimei Health Technology Co., Ltd - Ordinary Share",G,N,N,100.0,N,N,NASDAQ
AFJKR,"Aimei Health Technology Co., Ltd","Aimei Health Technology Co., Ltd - Right",G,N,N,100.0,N,N,NASDAQ
AFJKU,"Aimei Health Technology Co., Ltd","Aimei Health Technology Co., Ltd - Unit",G,N,N,100.0,N,N,NASDAQ
AFOS,ARS Focused Opportunity Strategy ETF,ARS Focused Opportunity Strategy ETF,G,N,N,100.0,Y,N,NASDAQ
AFRI,Forafric Global PLC,Forafric Global PLC - Ordinary Shares,S,N,N,100.0,N,N,NASDAQ
AFRIW,Forafric Global PLC,Forafric Global PLC - Warrants,S,N,N,100.0,N,N,NASDAQ
AFRM,"Affirm Holdings, Inc.","Affirm Holdings, Inc. - Class A Common Stock",Q,N,N,100.0,N,N,NASDAQ
AFSC,abrdn Focused U.S. Small Cap Active ETF,abrdn Focused U.S. Small Cap Active ETF,G,N,N,100.0,Y,N,NASDAQ
AFYA,Afya Limited,Afya Limited - Class A Common Shares,Q,N,N,100.0,N,N,NASDAQ
AGAE,Allied Gaming & Entertainment Inc.,Allied Gaming & Entertainment Inc. - Common Stock,S,N,H,100.0,N,N,NASDAQ
AGEM,abrdn Emerging Markets Dividend Active ETF,abrdn Emerging Markets Dividend Active ETF,G,N,N,100.0,Y,N,NASDAQ
AGEN,Agenus Inc.,Agenus Inc. - Common Stock,S,N,N,100.0,N,N,NASDAQ
AGFY,Agrify Corporation,Agrify Corporation - Common Stock,S,N,N,100.0,N,N,NASDAQ
AGGA,Astoria Dynamic Core US Fixed Income ETF,Astoria Dynamic Core US Fixed Income ETF,G,N,N,100.0,Y,N,NASDAQ
AGH,Aureus Greenway Holdings Inc.,Aureus Greenway Holdings Inc. - Common Stock,S,N,D,100.0,N,N,NASDAQ
AGIO,"Agios Pharmaceuticals, Inc.","Agios Pharmaceuticals, Inc. - Common Stock",Q,N,N,100.0,N,N,NASDAQ
AGIX,KraneShares Artificial Intelligence & Technology ETF,KraneShares Artificial Intelligence & Technology ETF,G,N,N,100.0,Y,N,NASDAQ
AGMH,AGM Group Holdings Inc.,AGM Group Holdings Inc. - Class A Ordinary Shares,S,N,N,100.0,N,N,NASDAQ
AGMI,Themes Silver Miners ETF,Themes Silver Miners ETF,G,N,N,100.0,Y,N,NASDAQ
AGNC,AGNC Investment Corp.,AGNC Investment Corp. - Common Stock,Q,N,N,100.0,N,N,NASDAQ
AGNCL,AGNC Investment Corp.,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred Stock",Q,N,N,100.0,N,N,NASDAQ
AGNCM,AGNC Investment Corp.,AGNC Investment Corp. - Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,Q,N,N,100.0,N,N,NASDAQ
AGNCN,AGNC Investment Corp.,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock",Q,N,N,100.0,N,N,NASDAQ
AGNCO,AGNC Investment Corp.,"AGNC Investment Corp. - Depositary Shares, each representing a 1/1,000th interest in a share of Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock",Q,N,N,100.0,N,N,NASDAQ
AGNCP,AGNC Investment Corp.,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",Q,N,N,100.0,N,N,NASDAQ
AGNG,Global X Aging Population ETF,Global X Aging Population ETF,G,N,N,100.0,Y,N,NASDAQ
AGRI,AgriFORCE  Growing Systems Ltd.,AgriFORCE  Growing Systems Ltd. - Common Shares,S,N,N,100.0,N,N,NASDAQ
AGYS,"Agilysys, Inc.","Agilysys, Inc. - Common Stock",Q,N,N,100.0,N,N,NASDAQ
AGZD,WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund,WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund,G,N,N,100.0,Y,N,NASDAQ
AHCO,AdaptHealth Corp. ,AdaptHealth Corp.  - Common Stock,S,N,N,100.0,N,N,NASDAQ
AHG,Akso Health Group,Akso Health Group - American Depositary Shares,S,N,N,100.0,N,N,NASDAQ
AIA,iShares Asia 50 ETF,iShares Asia 50 ETF,G,N,N,100.0,Y,N,NASDAQ
AIFD,TCW Artificial Intelligence ETF,TCW Artificial Intelligence ETF,G,N,N,100.0,Y,N,NASDAQ
AIFE,Aifeex Nexus Acquisition Corporation,Aifeex Nexus Acquisition Corporation - Class A Ordinary Shares,G,N,N,100.0,N,N,NASDAQ
AIFER,Aifeex Nexus Acquisition Corporation,Aifeex Nexus Acquisition Corporation - Right,G,N,N,100.0,N,N,NASDAQ
AIFEU,Aifeex Nexus Acquisition Corporation,Aifeex Nexus Acquisition Corporation - Unit,G,N,N,100.0,N,N,NASDAQ
AIFF,"Firefly Neuroscience, Inc. ","Firefly Neuroscience, Inc.  - Common Stock",S,N,N,100.0,N,N,NASDAQ
AIFU,AIFU Inc.,AIFU Inc. - Class A Ordinary Share,Q,N,N,100.0,N,N,NASDAQ
